timestamp,value
2014-04-10 00:04:00,91.958
2014-04-10 00:09:00,94.798
2014-04-10 00:14:00,92.208
2014-04-10 00:19:00,93.722
2014-04-10 00:24:00,93.042
2014-04-10 00:29:00,92.958
2014-04-10 00:34:00,95.708
2014-04-10 00:39:00,95.25
2014-04-10 00:44:00,94.458
2014-04-10 00:49:00,92.75
2014-04-10 00:54:00,94.208
2014-04-10 00:59:00,92.75
2014-04-10 01:04:00,94.376
2014-04-10 01:09:00,92.792
2014-04-10 01:14:00,91.666
2014-04-10 01:19:00,87.542
2014-04-10 01:24:00,90.75
2014-04-10 01:29:00,91.65
2014-04-10 01:34:00,90.06200000000004
2014-04-10 01:39:00,93.416
2014-04-10 01:44:00,89.904
2014-04-10 01:49:00,90.542
2014-04-10 01:54:00,90.628
2014-04-10 01:59:00,91.166
2014-04-10 02:04:00,90.5
2014-04-10 02:09:00,89.166
2014-04-10 02:14:00,90.292
2014-04-10 02:19:00,90.208
2014-04-10 02:24:00,93.626
2014-04-10 02:29:00,93.624
2014-04-10 02:34:00,93.756
2014-04-10 02:39:00,93.542
2014-04-10 02:44:00,92.042
2014-04-10 02:49:00,90.938
2014-04-10 02:54:00,91.376
2014-04-10 02:59:00,92.666
2014-04-10 03:04:00,94.42
2014-04-10 03:09:00,95.584
2014-04-10 03:19:00,90.62
2014-04-10 03:24:00,93.478
2014-04-10 03:29:00,94.126
2014-04-10 03:34:00,93.338
2014-04-10 03:39:00,93.458
2014-04-10 03:44:00,92.166
2014-04-10 03:49:00,91.584
2014-04-10 03:54:00,94.33
2014-04-10 03:59:00,95.084
2014-04-10 04:04:00,93.958
2014-04-10 04:09:00,94.714
2014-04-10 04:14:00,92.232
2014-04-10 04:19:00,95.2
2014-04-10 04:24:00,92.458
2014-04-10 04:29:00,94.444
2014-04-10 04:34:00,86.736
2014-04-10 04:39:00,93.072
2014-04-10 04:44:00,95.876
2014-04-10 04:49:00,93.994
2014-04-10 04:54:00,94.104
2014-04-10 04:59:00,93.75
2014-04-10 05:04:00,90.852
2014-04-10 05:09:00,89.584
2014-04-10 05:14:00,94.542
2014-04-10 05:19:00,91.974
2014-04-10 05:24:00,93.0
